name,type,category,phone,address,city,county,source,priority
ARMA15,"Gun Store, FFL Dealer",retail,2103879797,"801 LOS LUCEROS DR, EAGLE, ID 83616",EAGLE,Ada,FFL_Candidates,medium
AUTOMATIC WEAPONS COMPANY,"Gun Store, FFL Dealer",retail,2089382173,"15005 N MCFARLAND CREEK RD #B, BOISE, ID 83714",BOISE,Ada,FFL_Candidates,medium
B H GUNS,"Gun Store, FFL Dealer",retail,2088635059,"6128 W FAIRVIEW AVE UNIT 1M-6, BOISE, ID 83704",BOISE,Ada,FFL_Boise,medium
BADLANDS RIFLE COMPANY LLC,"Gun Store, FFL Dealer",retail,5416403052,"291 E SHORE DR SUITE 120, EAGLE, ID 83616",EAGLE,Ada,FFL_Boise,medium
BENNETT MOUNTAIN OUTFITTERS,"Gun Store, FFL Dealer",retail,2083520058,"1645 N CLARENDON WAY, EAGLE, ID 83616",EAGLE,Ada,FFL_Boise,medium
BI MART #688,"Gun Store, FFL Dealer",retail,2082878986,"1277 E DEER FLAT RD, KUNA, ID 83634",KUNA,Ada,FFL_Candidates,medium
BIMART #689,"Gun Store, FFL Dealer",retail,2089725178,"11347 W STATE ST, STAR, ID 83669",STAR,Ada,FFL_Candidates,medium
BLACK DOG SPORTS USA,"Gun Store, FFL Dealer",retail,2085710179,"367 N SHADY GROVE CT, KUNA, ID 836342169",KUNA,Ada,FFL_Boise,medium
BLUE FALCON TACTICAL LLC,"Gun Store, Tactical, FFL Dealer",retail,2084619387,"9393 WEST KUNA RD, KUNA, ID 83634",KUNA,Ada,FFL_Boise,medium
BOISE BLACK RIFLE INC,"Gun Store, FFL Dealer",retail,2084503044,"1580 N STONEHENGE WAY # 102, MERIDIAN, ID 83642",MERIDIAN,Ada,FFL_Boise,medium
BOISE TACTICAL,"Gun Store, Tactical, FFL Dealer",retail,2088602890,"440 N FIVE MILE RD, BOISE, ID 83713",BOISE,Ada,FFL_Boise,medium
BOOTLEG INC,"Gun Store, FFL Dealer",retail,2179797730,"1336 S CROOKED FENCE LANE, KUNA, ID 83634",KUNA,Ada,FFL_Candidates,medium
BUCKHORN GUN SHOP / BGS GUNS,"Gun Store, FFL Dealer",retail,2083772535,"6601 W USTICK RD, BOISE, ID 83704",BOISE,Ada,FFL_Boise,medium
BURNING BULLET,"Gun Store, FFL Dealer",retail,2086962171,"1890 SOUTH STONE RIDGE WAY, BOISE, ID 83712",BOISE,Ada,FFL_Candidates,medium
BURNS CUSTOM PISTOLS,"Gun Store, FFL Dealer",services,2086165418,"5377 SOUTH TEN MILE ROAD, MERIDIAN, ID 83642",MERIDIAN,Ada,FFL_Candidates,medium
CABELA'S 419,"Gun Store, FFL Dealer",retail,2086727900,"8109 W FRANKLIN ROAD, BOISE, ID 83709",BOISE,Ada,FFL_Candidates,medium
CORBETT AUCTIONS & APPRAISALS INC,"Pawn Shop, Firearms",retail,2088889563,"547 E. STAGECOACH, KUNA, ID 83634",KUNA,Ada,FFL_Boise,medium
CREATIVE CARNAGE,"Gun Store, FFL Dealer",retail,2089574511,"2115 N FAIRMEADOW DR, BOISE, ID 83704",BOISE,Ada,FFL_Candidates,medium
CT BRIAN,"Gun Store, FFL Dealer",retail,2088880957,"1468 W JULEP ST, MERIDIAN, ID 83642",MERIDIAN,Ada,FFL_Candidates,medium
D & B SPORTING ARMS,"Gun Store, Sporting Goods",retail,2083424920,"1419 NORTH 23RD, BOISE, ID 83702",BOISE,Ada,FFL_Boise,medium
EAGLE EYE ARMORY,"Gun Store, Tactical, FFL Dealer",retail,2088257374,"18125 N CINCH WAY, BOISE, ID 83714",BOISE,Ada,FFL_Boise,medium
EAGLE FIREARMS,"Gun Store, FFL Dealer",retail,4803230466,"939 S LAKE POINTE WAY, EAGLE, ID 83616",EAGLE,Ada,FFL_Boise,medium
EVERYDAY ARMIS,"Gun Store, FFL Dealer",retail,5307399694,"1666 WEST TOPANGA DRIVE, KUNA, ID 83634",KUNA,Ada,FFL_Candidates,medium
FLINT'N FRIZZEN,"Gun Store, FFL Dealer",retail,2083869349,"3867 E SHADY GLEN DR, BOISE, ID 837060000",BOISE,Ada,FFL_Candidates,medium
GIBSON FIREARMS LLC,"Gun Store, FFL Dealer",retail,2088679298,"7127 W WAVERLY CT, BOISE, ID 83704",BOISE,Ada,FFL_Boise,medium
HAPPY TIME FIREARMS,"Gun Store, FFL Dealer",retail,2089949946,"19137 S PLEASANT VALLEY RD, KUNA, ID 83634",KUNA,Ada,FFL_Boise,medium
HARGAN PRECISION RIFLEWORKS LLC,"Gun Store, FFL Dealer",services,2088704968,"3822 SOUTH SUMTER WAY, BOISE, ID 83709",BOISE,Ada,FFL_Boise,medium
HIGH BORN TACTICAL,"Gun Store, Tactical, FFL Dealer",retail,2083781884,"400 N FIVE MILE RD, BOISE, ID 83713",BOISE,Ada,FFL_Boise,medium
I2AT,"Gun Store, FFL Dealer",retail,2082987916,"5202 N MORNINGGALE WAY, BOISE, ID 83713",BOISE,Ada,FFL_Boise,medium
IDAHO ARMS & AMMO,"Gun Store, FFL Dealer",retail,2088090939,"519 E FAIRVIEW AVE STE 300, MERIDIAN, ID 83642",MERIDIAN,Ada,FFL_Boise,medium
IDAHO ARMS AND AMMO LLC,"Gun Store, FFL Dealer",retail,2088090939,"519 E FAIRVIEW AVE STE 300, MERIDIAN, ID 83642",MERIDIAN,Ada,FFL_Boise,medium
IDAHO GUN & OUTDOORS,"Gun Store, FFL Dealer",retail,2083781600,"8600 W FRANKLIN RD, BOISE, ID 83709",BOISE,Ada,FFL_Boise,medium
IMPACT GUNS,"Gun Store, FFL Dealer",retail,2083211288,"11655 WEST EXECUTIVE DR, BOISE, ID 83713",BOISE,Ada,FFL_Boise,medium
IMPACT GUNS,"Gun Store, FFL Dealer",retail,2083211288,"11655 WEST EXECUTIVE DR, BOISE, ID 83713",BOISE,Ada,FFL_Boise,medium
J ROSE GUNS,"Gun Store, FFL Dealer",retail,2085904100,"1153 E INSIGNIA DR, BOISE, ID 83716",BOISE,Ada,FFL_Boise,medium
JAKES HARDWARE,"Gun Store, FFL Dealer",retail,3344259379,"1876 N AZURITE DR, KUNA, ID 83634",KUNA,Ada,FFL_Boise,medium
JON'S GUNS,"Gun Store, FFL Dealer",retail,2086391234,"936 N GLEN ASPEN WAY, STAR, ID 83669",STAR,Ada,FFL_Boise,medium
KODA DEFENSE & ARMS,"Gun Store, FFL Dealer",retail,5412440772,"1033 W FAIRWOOD CT, MERIDIAN, ID 83646",MERIDIAN,Ada,FFL_Candidates,medium
LOST COAST TACTICAL,"Gun Store, Tactical, FFL Dealer",retail,4254639339,"1945 W HENDRICKS CT, MERIDIAN, ID 83646",MERIDIAN,Ada,FFL_Boise,medium
MAIN AUCTION,"Pawn Shop, Firearms",retail,2083448314,"2912 W MAIN ST, BOISE, ID 83702",BOISE,Ada,FFL_Boise,medium
MERIDIAN OPTIMIST JUNIOR RIFLE CLUB,"Gun Store, FFL Dealer",retail,2089493763,"2093 N DUCK HAWK AVE, KUNA, ID 83634",KUNA,Ada,FFL_Boise,medium
MILLER FIREARMS,"Gun Store, FFL Dealer",retail,2088596591,"7419 GREEN ACRES DR, BOISE, ID 83709",BOISE,Ada,FFL_Boise,medium
"MOMENTOUS ARMORY, LLC","Gun Store, Tactical, FFL Dealer",retail,2088007413,"5953 N MITCHUM AVE, MERIDIAN, ID 83646",MERIDIAN,Ada,FFL_Boise,medium
NORTHWEST CONCEALED CARRY OUTFITTERS,"Gun Store, FFL Dealer",retail,2089493763,"2093 N DUCK HAWK AVE, KUNA, ID 83634",KUNA,Ada,FFL_Boise,medium
QUANTUM TACTICAL,"Gun Store, Tactical, FFL Dealer",retail,2088598001,"3107 CRESCENT RIM DR., BOISE, ID 83706",BOISE,Ada,FFL_Boise,medium
RAINWATER SPORTING ARMS,"Gun Store, Sporting Goods",retail,6616994950,"145 SO MARKO LANE, KUNA, ID 83634",KUNA,Ada,FFL_Boise,medium
RANDAL BAILEY ARMS,"Gun Store, FFL Dealer",retail,2086311287,"3705 NORMANDIE DR, BOISE, ID 837050000",BOISE,Ada,FFL_Candidates,medium
RAYS GUNS & AMMO,"Gun Store, FFL Dealer",retail,2088701712,"1969 W RED FEATHER WAY, MERIDIAN, ID 83646",MERIDIAN,Ada,FFL_Boise,medium
RIFLE GURU,"Gun Store, FFL Dealer",retail,2084841791,"5282 W WHITE HILLS DR, BOISE, ID 83714",BOISE,Ada,FFL_Boise,medium
RIFLE GURU,"Gun Store, FFL Dealer",retail,2084841791,"5282 W WHITE HILLS DR, BOISE, ID 83714",BOISE,Ada,FFL_Boise,medium
RIFLECRAFTERS,"Gun Store, FFL Dealer",retail,2088889454,"227 E FAIRVIEW AVE, MERIDIAN, ID 83642",MERIDIAN,Ada,FFL_Boise,medium
ROBERTSON FIREARM SERVICES,"Gun Store, FFL Dealer",retail,2088590756,"5909 W. POPLAR CIR, BOISE, ID 83704",BOISE,Ada,FFL_Boise,medium
SAMS LOCKER,"Gun Store, FFL Dealer",retail,2084878003,"10250 W FAIRVIEW AVE, BOISE, ID 83704",BOISE,Ada,FFL_Candidates,medium
SHOOTERS BEST BUY,"Gun Store, FFL Dealer",retail,2089215860,"6009 S LATIGO DR, BOISE, ID 83709",BOISE,Ada,FFL_Boise,medium
SILENCER CENTRAL,"Gun Store, FFL Dealer",retail,8887818778,"327 W LIL ROBERT CT, KUNA, ID 836345075",KUNA,Ada,FFL_Candidates,medium
SNAKE RIVER GUNWORKS,"Gun Store, FFL Dealer",retail,2082214528,"8537 WEST SMALL CREEK DRIVE, BOISE, ID 83709",BOISE,Ada,FFL_Boise,medium
"SPAR TACTICAL, LLC","Gun Store, Tactical, FFL Dealer",retail,2089419477,"1811 E SPINNAKER CT, BOISE, ID 83706",BOISE,Ada,FFL_Boise,medium
SPORTSMAN'S WAREHOUSE 104,"Gun Store, FFL Dealer",retail,2088843000,"3797 EAST FAIRVIEW AVE, MERIDIAN, ID 83642",MERIDIAN,Ada,FFL_Boise,medium
SURESHOT PRECISION RIFLES LLC,"Gun Store, FFL Dealer",services,2088304844,"1710 S CURTIS RD, BOISE, ID 83705",BOISE,Ada,FFL_Boise,medium
SWIFT FIREARMS,"Gun Store, FFL Dealer",retail,2088632284,"7500 S HIDDEN VALLEY DRIVE, BOISE, ID 83709",BOISE,Ada,FFL_Boise,medium
THE GUN TAILOR LLC,"Gun Store, FFL Dealer",retail,2082842986,"1994 E FRANKLIN, MERIDIAN, ID 83642",MERIDIAN,Ada,FFL_Boise,medium
TIBERIUS SUPPLY GROUP LLC,"Gun Store, FFL Dealer",retail,2083712190,"2648 E LAWTON DR, MERIDIAN, ID 83642",MERIDIAN,Ada,FFL_Boise,medium
"TISM TACTICAL INDUSTRIES, LLC","Gun Store, Tactical, FFL Dealer",retail,2085198650,"6715 W YOKE ST, MERIDIAN, ID 83646",MERIDIAN,Ada,FFL_Boise,medium
TRIGGERMAN SPORTS LLC,"Gun Store, FFL Dealer",retail,2088708847,"10490 W POPPY ST, BOISE, ID 83704",BOISE,Ada,FFL_Boise,medium
UNDERGROUND GUNS,"Gun Store, FFL Dealer",retail,2087245577,"6126 W STATE ST #308, BOISE, ID 83703",BOISE,Ada,FFL_Boise,medium
VELOCITY GUN SALES,"Gun Store, FFL Dealer",retail,2088903715,"6128 W FAIRVIEW AVE UNIT 1M-1, BOISE, ID 83704",BOISE,Ada,FFL_Boise,medium
WESTBOUND CUSTOM FIREARMS,"Gun Store, FFL Dealer",services,2087613683,"11939 MUSKET DRIVE, BOISE, ID 83713",BOISE,Ada,FFL_Boise,medium
WHITE DOG ARMS / WHITE DOG AMMO,"Gun Store, FFL Dealer",retail,2089184647,"2899 S CHARLOTTE AVE, BOISE, ID 83709",BOISE,Ada,FFL_Boise,medium
WORKMAN OUTFITTERS,"Gun Store, FFL Dealer",retail,2083425479,"1008 VISTA, BOISE, ID 837050000",BOISE,Ada,FFL_Boise,medium
X COUNT FIREARMS & AMMUNITION,"Gun Store, FFL Dealer",retail,2086826887,"6224 W DONATELLA STREET, EAGLE, ID 83616",EAGLE,Ada,FFL_Boise,medium
YOUNGS FIREARMS,"Gun Store, FFL Dealer",retail,2089852995,"324 S WINSLOW BAY WAY, STAR, ID 83669",STAR,Ada,FFL_Boise,medium
1791 PRECISION ARMORY,"Gun Store, Tactical, FFL Dealer",services,2094434027,"18232 N CAMAS CREEK AVE, NAMPA, ID 83687",NAMPA,Canyon,FFL_Boise,medium
1791 PRECISION ARMORY,"Gun Store, Tactical, FFL Dealer",services,2094434027,"18232 N CAMAS CREEK AVE, NAMPA, ID 83687",NAMPA,Canyon,FFL_Boise,medium
ACCURA OUTDOORS,"Gun Store, FFL Dealer",retail,2084669975,"2316 E RAILROAD ST, NAMPA, ID 83687",NAMPA,Canyon,FFL_Boise,medium
ADTAC,"Gun Store, FFL Dealer",retail,2084428000,"2102 NORTH DEVLIN WAY, NAMPA, ID 83687",NAMPA,Canyon,FFL_Boise,medium
B D M ,"Gun Store, FFL Dealer",retail,2084651940,"21793 HIGHWAY 20/26, CALDWELL, ID 83607",CALDWELL,Canyon,FFL_Candidates,medium
BI MART #614,"Gun Store, FFL Dealer",retail,5413340681,"425 N 10TH AVE, CALDWELL, ID 83605",CALDWELL,Canyon,FFL_Candidates,medium
BI-MART #628,"Gun Store, FFL Dealer",retail,5413340681,"407 12TH AVENUE, NAMPA, ID 83686",NAMPA,Canyon,FFL_Candidates,medium
BJORALT FIREARMS,"Gun Store, FFL Dealer",retail,2085765534,"6489 E MONROE ST, NAMPA, ID 83687",NAMPA,Canyon,FFL_Boise,medium
CHARTERS MTN GUN SHOP,"Gun Store, FFL Dealer",retail,2084590978,"19300 MARSING RD, CALDWELL, ID 83607",CALDWELL,Canyon,FFL_Boise,medium
