license_name,business_name,premise_street,premise_city,premise_state,premise_zip_code,voice_phone
IDAHO ARMS AND AMMO LLC,,519 E FAIRVIEW AVE STE 300,MERIDIAN,ID,83642,2088090939
IDAHO ARMS AND AMMO LLC,IDAHO ARMS & AMMO,519 E FAIRVIEW AVE STE 300,MERIDIAN,ID,83642,2088090939
IIS LLC,INDEPENDENCE INDOOR SHOOTING,2749 E GALA CT,MERIDIAN,ID,83642,2085764867
IMPACT GUNS BOISE LLC,IMPACT GUNS,11655 WEST EXECUTIVE DR,BOISE,ID,83713,2083211288
IMPACT GUNS BOISE RANGE LLC,IMPACT GUNS,11655 WEST EXECUTIVE DR,BOISE,ID,83713,2083211288
JACKS AMMO LLC,,12780 ASHFIELD ST,CALDWELL,ID,83607,8474819779
JACKSON GUNWORKS LLC,,4412 GUNSMOKE LANE,NAMPA,ID,83686,2088809250
"JACOBSON, BENJAMIN RAY",JAKES HARDWARE,1876 N AZURITE DR,KUNA,ID,83634,3344259379
KEN'S LOAN AND JEWELRY INC,KEN'S PAWN AND JEWELRY,608 12TH AVE S,NAMPA,ID,83651,2084669647
KODIAK FIREARMS LLC,KODIAK FIREARMS,1910 W LOTUS PONDS CT,NAMPA,ID,83651,2089854911
LARRY'S SPORTING GOODS INC,,704 2ND ST S,NAMPA,ID,836510000,2084679201
"LAURITZEN, CLIFTON D",LIONS DEN LOCK & GUN,511 SOUTH VALLEY DR,NAMPA,ID,83686,2089362713
LUCKY SHOT AMMUNITION & GUNS LLC,,801 W PEIRSOL ST,NAMPA,ID,83686,9518580597
LUCKY SHOT AMMUNITION & GUNS LLC,,801 W PEIRSOL ST,NAMPA,ID,83686,9518580597
LUCKY SHOT AMMUNITION & GUNS LLC,,801 W PEIRSOL ST,NAMPA,ID,83686,9518580597
"MAGNUSON, KEVIN LEE",MUDU SPORTS,2715 ASPEN FALLS AVE,CALDWELL,ID,83605,7143257120
MAIN AUCTION CORP,MAIN AUCTION,2912 W MAIN ST,BOISE,ID,83702,2083448314
"MCGRATH, GARY J",MCGRATH GUNSMITH SERVICES,2736 MCKINNEY ST,BOISE,ID,837040000,2087612335
"MCR ENTERPRISES, LLC",ROYAL RIFLES,10430 RANDAL LANE,CALDWELL,ID,83607,2084845702
"MELSON, RANDALL JOHN",RM FIREARMS,7555 PLEASANT VIEW DR,CALDWELL,ID,83607,2085502123
MERIDIAN OPTIMIST JR RIFLE CLUB,MERIDIAN OPTIMIST JUNIOR RIFLE CLUB,2093 N DUCK HAWK AVE,KUNA,ID,83634,2089493763
METAL CRAFT MANUFACTURING LLC,MCM FIREARMS DELTA S,1251 N MIDLAND BLVD,NAMPA,ID,83651,2084056000
"MOMENTOUS ARMORY, LLC",,5953 N MITCHUM AVE,MERIDIAN,ID,83646,2088007413
"MOORE, BERT",NORTHWEST CONCEALED CARRY OUTFITTERS,2093 N DUCK HAWK AVE,KUNA,ID,83634,2089493763
"MUIR, DAVID NATHANIEL LEE",FIREFLY SHOOTING ACADEMY,516 W HIGHLAND ST,BOISE,ID,83706,2089540368
NELSON GUNSMITHING LLC,NELSON GUNSMITHING,1830 AIRPORT WAY,BOISE,ID,83705,9864004867
"NEWKIRK, TRAVIS DANIEL",WESTBOUND CUSTOM FIREARMS,11939 MUSKET DRIVE,BOISE,ID,83713,2087613683
"OMINOUS, LLC",FOUNDING FATHERS ARMORY,1310 N 63RD ST,NAMPA,ID,83687,2086155542
PATRIOT PAWN & GUN LLC,,1977 N WILLOW GLEN PLACE,STAR,ID,83669,2082867300
PAWN 1 INC,PAWN 1,3393 N TEN MILE ROAD,MERIDIAN,ID,83646,2084887319
PAWN 1 INC,PAWN 1,724 12TH AVE S,NAMPA,ID,83651,2083180088
PAWN 1 INC,VISTA PAWN,503 S VISTA AVE,BOISE,ID,83705,2083423352
PAWN 1 INC,,919 N ORCHARD ST,BOISE,ID,83706,2086580472
PAWN 1 INC,PAWN 1,1450 S MAPLE GROVE,BOISE,ID,83709,2082588900
PAWN 1 INC,PAWN 1,11405 W FAIRVIEW,BOISE,ID,83713,2083197296
PAWN 1 INC,VISTA PAWN STATE ST,6961 W STATE ST,GARDEN CITY,ID,83714,2083784920
PAWN 1 INCORPORATED,,5724  CLEVELAND BLVD,CALDWELL,ID,83605,2087955255
QPR PRECISION GUNSMITHING LLC,,311 2ND ST S STE B,NAMPA,ID,83651,2084650071
"QUANTUM TACTICAL, LLC",QUANTUM TACTICAL,3107 CRESCENT RIM DR.,BOISE,ID,83706,2088598001
"R K GUNSMITHING, LLC",R K GUNSMITHING,16089 N FRANKLIN BLVD UNIT #4,NAMPA,ID,83687,2086024076
"R MINGUS ENTERPRISES, LLC",ROBERTSON FIREARM SERVICES,5909 W. POPLAR CIR,BOISE,ID,83704,2088590756
"RAINWATER, DENNIS L",RAINWATER SPORTING ARMS,145 SO MARKO LANE,KUNA,ID,83634,6616994950
"RANDAZZO, MATTHEW",1791 PRECISION ARMORY,18232 N CAMAS CREEK AVE,NAMPA,ID,83687,2094434027
"RANDAZZO, MATTHEW ROSS",1791 PRECISION ARMORY,18232 N CAMAS CREEK AVE,NAMPA,ID,83687,2094434027
RED CLOUD INC,UNDERGROUND GUNS,6126 W STATE ST #308,BOISE,ID,83703,2087245577
REFLEX TACTICAL IDAHO LLC,,824 12TH AVENUE SOUTH,NAMPA,ID,83651,2084638584
"RICHARDS, HARVEY E JR",BLACK DOG SPORTS USA,367 N SHADY GROVE CT,KUNA,ID,836342169,2085710179
RIFLECRAFTERS LLC,RIFLECRAFTERS,227 E FAIRVIEW AVE,MERIDIAN,ID,83642,2088889454
"ROSE, JASON EDWARD",J ROSE GUNS,1153 E INSIGNIA DR,BOISE,ID,83716,2085904100
"SANTA CRUZ ARMORY, INC",EAGLE EYE ARMORY,18125 N CINCH WAY,BOISE,ID,83714,2088257374
SCHEELS ALL SPORTS INC,,700 S WAYFINDER AVE,MERIDIAN,ID,83642,2083477005
"SHARP, RON",PRACTICAL SHOOTERS SRVC,"6918 CENTER LANE, BUILDING B",NAMPA,ID,83687,2084663017
SHOOTERS BENCH LLC,,222 W RAILROAD STREET,NAMPA,ID,83687,2084424422
SIERRA-TAC LLC,SIERRA TACTICAL & GUNSMITHING,2624 E LAWTON DRIVE,MERIDIAN,ID,83642,2086974454
SITUATION SALES LLC,VELOCITY GUN SALES,6128 W FAIRVIEW AVE UNIT 1M-1,BOISE,ID,83704,2088903715
SNAKE RIVER RIFLEWORKS LLC,SNAKE RIVER RIFLEWORKS,13930 S PIANO AVE,NAMPA,ID,83651,2084210648
SOLAR TACTICAL INC,SOLAR TACTICAL,7396 HIGHWAY 44,STAR,ID,83669,5105515070
"SOULIE, MARC B",SPARTAN PRECISION RIFLES,4018 E LINDEN ST # 103,CALDWELL,ID,83605,4084519850
"SOUTH WEST IDAHO FIREARMS TRAINING, LLC",SWIFT FIREARMS,7500 S HIDDEN VALLEY DRIVE,BOISE,ID,83709,2088632284
"SPAR TACTICAL, LLC",,1811 E SPINNAKER CT,BOISE,ID,83706,2089419477
SPORTSMAN'S WAREHOUSE INC,SPORTSMAN'S WAREHOUSE 104,3797 EAST FAIRVIEW AVE,MERIDIAN,ID,83642,2088843000
SPORTSMAN'S WAREHOUSE INC,SPORTSMAN'S WAREHOUSE #224,16865 N MARKET PLACE BLVD,NAMPA,ID,836875140,2084687600
STIGLITZ FIREARMS LLC,,5109 DANVILLE ST,CALDWELL,ID,83605,6023014482
SURESHOT PRECISION RIFLES LLC,,1710 S CURTIS RD,BOISE,ID,83705,2088304844
TACTICAL SOLUTIONS INC,TACTICAL SOLUTIONS,2772 S VICTORY VIEW WAY,BOISE,ID,83709,2083339901
THE GUN TAILOR LLC,,1994 E FRANKLIN,MERIDIAN,ID,83642,2082842986
"THE LEY GROUP IDAHO, LLC",X COUNT FIREARMS & AMMUNITION,6224 W DONATELLA STREET,EAGLE,ID,83616,2086826887
THE PERRY CORPORATION,BUCKHORN GUN SHOP / BGS GUNS,6601 W USTICK RD,BOISE,ID,83704,2083772535
TIBERIUS SUPPLY GROUP LLC,,2648 E LAWTON DR,MERIDIAN,ID,83642,2083712190
"TISM TACTICAL INDUSTRIES, LLC",,6715 W YOKE ST,MERIDIAN,ID,83646,2085198650
TREASURE VALLEY PAWN LLC,,6513 CLEVELAND BIRD STE 101,CALDWELL,ID,83607,2087896550
TRIGGERMAN SPORTS LLC,,10490 W POPPY ST,BOISE,ID,83704,2088708847
"TWIN TACTICAL OUTFITTERS, LLC",LONG RANGE OUTFITTERS,17443 N FLAGSTAFF WAY,NAMPA,ID,83687,2533631987
UNDERWOOD ENTERPRISES LLC,I GUNS,419 FLETCHER DR,NAMPA,ID,83686,2083186272
VENOM TACTICAL LLC,VENOM TACTICAL,1728 E DEERHILL ST,MERIDIAN,ID,83642,2089943858
"WALKER TACTICAL FIREARMS, LLC",,1547 S BOULDER VIEW LANE,BOISE,ID,83712,2088691508
"WEATHERMON, COREY",NORTHWEST GUN SUPPLY,12338 RANCHVIEW DR,NAMPA,ID,83686,2085050130
"WEATHERMON, COREY ALVIN","NORTHWEST GUN SUPPLY, NGS",12338 RANCHVIEW DR,NAMPA,ID,83686,2085050130
WHITE DOG ARMS & PAWS LLC,WHITE DOG ARMS / WHITE DOG AMMO,2899 S CHARLOTTE AVE,BOISE,ID,83709,2089184647
"WILD BILLS SPORTING, LLC",,2020 BLAINE STREET,CALDWELL,ID,83605,2087241044
WILLIAM & BEVERLY MILLER,MILLER FIREARMS,7419 GREEN ACRES DR,BOISE,ID,83709,2088596591
X RING ARMORY LLC,X RING ARMORY,17169 N FRANKLIN BLVD,NAMPA,ID,83687,2084844099
"YOUNG, RICHARD P",YOUNGS FIREARMS,324 S WINSLOW BAY WAY,STAR,ID,83669,2089852995
