Name,Type,Phone,Address,City,County,Website,Verified
BGW LLC,"Gunsmith, FFL Dealer",951-445-9819,"2228 Cortland Place, Nampa, ID 83687",Nampa,Canyon,N/A,Yes
ATI-Adaptive Technologies Inc,Gun Manufacturer,N/A,"1910 E Karcher Rd, Nampa, ID 83687",Nampa,Canyon,N/A,Yes
Ashment Custom Coatings LLC,"Gun Manufacturer, Custom Services",N/A,"614 N 39th St, Nampa, ID 83686",Nampa,Canyon,N/A,Yes
Altanova Manufacturing Inc,Gun Manufacturer,N/A,"530 N Broadmore Way, Nampa, ID 83687",Nampa,Canyon,N/A,Yes
AmmoSquared Inc,"Gun Store, Ammunition, Importer",N/A,"3630 E Comstock Ave, Nampa, ID 83687",Nampa,Canyon,N/A,Yes
Stinger-Defense,Gun Manufacturer,N/A,"1320 Smith Ave, Nampa, ID 83651",Nampa,Canyon,N/A,Yes
"Averett, Brian C (Old Farts Gun Shop)","Gun Store, FFL Dealer",208-467-7788,"408 1/2 E Carol St, Nampa, ID 83687",Nampa,Canyon,N/A,Yes
208 Laser Engraving,"Gun Services, Custom Engraving",N/A,"77 S Inverness Dr, Nampa, ID 83651",Nampa,Canyon,N/A,Yes
Owyhee Shooters Supply,"Gun Store, FFL Dealer",N/A,"3822 Preston Ave, Caldwell, ID 83605",Caldwell,Canyon,N/A,Yes
Al's Pawn & Gun Inc,"Pawn Shop, Gun Store, FFL Dealer",208-454-8038,"5602 Cleveland Blvd, Caldwell, ID 83607",Caldwell,Canyon,N/A,Yes
D&B Supply Muller,"Gun Store, Sporting Goods, FFL Dealer",N/A,"3913 Muller Drive, Caldwell, ID 83605",Caldwell,Canyon,dbsupply.com,Yes
D&B Supply Smeed,"Gun Store, Sporting Goods, FFL Dealer",N/A,"620 Smeed Parkway, Caldwell, ID 83605",Caldwell,Canyon,dbsupply.com,Yes
Bi-Mart #614,"Gun Store, Sporting Goods",N/A,"425 N 10th Ave, Caldwell, ID 83605",Caldwell,Canyon,N/A,Yes
Dundas Works LLC,"Gun Store, Gunsmith, FFL Dealer",N/A,"5305 Black Canyon Rd, Caldwell, ID 83607",Caldwell,Canyon,N/A,Yes
Wild Bills Sporting LLC,"Gun Store, FFL Dealer",N/A,"2020 Blaine Street, Caldwell, ID 83605",Caldwell,Canyon,N/A,Yes
Treasure Valley Pawn LLC,"Pawn Shop, Firearms",N/A,"6513 Cleveland Blvd Ste 101, Caldwell, ID 83607",Caldwell,Canyon,N/A,Yes
Pawn 1 Incorporated,"Pawn Shop, Firearms",N/A,"5724 Cleveland Blvd, Caldwell, ID 83605",Caldwell,Canyon,N/A,Yes
Walmart #2780,"Gun Store, Sporting Goods",N/A,"5108 East Cleveland Blvd, Caldwell, ID 83605",Caldwell,Canyon,walmart.com,Yes
Agency Arms LLC,"Gun Manufacturer, Importer",N/A,"4006 E Linden St, Caldwell, ID 83605",Caldwell,Canyon,N/A,Yes
43rd State Armory LLC,Gun Manufacturer,N/A,"21361 Shady River Ln, Caldwell, ID 83607",Caldwell,Canyon,N/A,Yes
Big Sky Industries LLC,"Gun Store, FFL Dealer",N/A,"12871 Quail Run Ln, Caldwell, ID 83607",Caldwell,Canyon,N/A,Yes
Charters Mtn Gun Shop,"Gun Store, FFL Dealer",208-901-4972,"19300 Marsing Rd, Caldwell, ID 83607",Caldwell,Canyon,N/A,Yes
North West Precision Rifles,"Gun Store, Gunsmith, FFL Dealer",N/A,"2215 Wyoming Ave, Caldwell, ID 83605",Caldwell,Canyon,N/A,Yes
Heida Firearms,Gun Manufacturer,N/A,"17281 Ustick Rd, Caldwell, ID 83607",Caldwell,Canyon,N/A,Yes
Kinch Arms,"Gun Store, FFL Dealer",N/A,"20875 Blossom Heights Lane, Caldwell, ID 83607",Caldwell,Canyon,N/A,Yes
Mudu Sports,"Gun Store, FFL Dealer",N/A,"2715 Aspen Falls Ave, Caldwell, ID 83605",Caldwell,Canyon,N/A,Yes
Sawtooth Munitions,Gun Manufacturer,N/A,"14130 Black Hawk Lane, Caldwell, ID 83607",Caldwell,Canyon,N/A,Yes
Royal Rifles,Gun Manufacturer,N/A,"10430 Randal Lane, Caldwell, ID 83607",Caldwell,Canyon,N/A,Yes
RM Firearms,"Gun Store, FFL Dealer",N/A,"7555 Pleasant View Dr, Caldwell, ID 83607",Caldwell,Canyon,N/A,Yes
Terminator,Gun Manufacturer,N/A,"15076 Plum Rd, Caldwell, ID 83607",Caldwell,Canyon,N/A,Yes
Gibraltar Arms / Purple Sage International,"Gun Store, FFL Dealer",N/A,"13557 Signorello St, Caldwell, ID 83607",Caldwell,Canyon,N/A,Yes
Stiglitz Firearms LLC,Gun Manufacturer,N/A,"5109 Danville St, Caldwell, ID 83605",Caldwell,Canyon,N/A,Yes
Tiffany Enterprise,Gun Manufacturer,N/A,"4100 Dearborn Street, Caldwell, ID 83605",Caldwell,Canyon,N/A,Yes
Yankton Brothers LLC,Gun Manufacturer,N/A,"14010 Goodson Rd, Caldwell, ID 83607",Caldwell,Canyon,N/A,Yes
Federated Ordnance LLC,"Gun Manufacturer, Destructive Device Manufacturer",N/A,"1906 S Smeed Pkwy Suite 102, Caldwell, ID 83605",Caldwell,Canyon,N/A,Yes
Midstar Firearms LLC,"Gun Store, Gunsmith, FFL Dealer",208-585-9922,"8390 Highway 44, Middleton, ID 83644",Middleton,Canyon,midstar-firearms.com,Yes
52 Tactical LLC,"Gun Store, FFL Dealer",N/A,"8192 Fountain Brook St, Middleton, ID 83644",Middleton,Canyon,N/A,Yes
H M Praetorian LLC,"Gun Store, FFL Dealer",N/A,"7868 Open Sky Rd, Middleton, ID 83644",Middleton,Canyon,N/A,Yes
Longbow Tactical LLC,"Gun Store, FFL Dealer",N/A,"111 Pilgrim Way, Middleton, ID 83644",Middleton,Canyon,N/A,Yes
Firearm Training Institute,Gun Manufacturer,N/A,"22142 Duff Lane, Middleton, ID 83644",Middleton,Canyon,N/A,Yes
Ridley's Family Markets,"Gun Store, Grocery Store",N/A,"430 East Main St, Middleton, ID 83644",Middleton,Canyon,N/A,Yes
Wildcat Outfitters,"Gun Store, FFL Dealer",N/A,"8571 Quail Hollow Drive, Middleton, ID 83644",Middleton,Canyon,N/A,Yes
SCS Arms,Gun Manufacturer,N/A,"1551 Hearthstone Ave, Middleton, ID 83644",Middleton,Canyon,N/A,Yes
Traditional Gunsmithing by CA Winkle LLC,"Gunsmith, FFL Dealer",N/A,"25250 Lansing Ln, Middleton, ID 83644",Middleton,Canyon,N/A,Yes
C W Enterprises Sports,Gun Manufacturer,N/A,"22812 Lansing Lane, Middleton, ID 83644",Middleton,Canyon,N/A,Yes
Vigilante Guns and Ammo,"Gun Store, FFL Dealer",208-495-9855,"Melba, ID",Melba,Canyon,N/A,Yes
