license_name,business_name,premise_street,premise_city,premise_state,premise_zip_code,voice_phone
"BOUDREAUMADEIT, LLC",SNAKE RIVER GUNWORKS,8537 WEST SMALL CREEK DRIVE,BOISE,ID,83709,2082214528
"BOWEN, JAMES W",PREMIER GUNSMITHING & COATINGS,1852 N 3750 E,IDAHO FALLS,ID,83401,2085217068
"BRADLEY, JESSE JAY",WHOLESALE SHOOTERS SUPPLIES,401 BONNER MALL WAY SUITE I,PONDERAY,ID,83852,2085976446
"BRADLEY, ROBERT D",LONE PINE RIFLEWORKS,425 E MAIN ST,CHALLIS,ID,83226,2088792755
"BRIAN, CHARLES TIMOTHY",CT BRIAN,1468 W JULEP ST,MERIDIAN,ID,83642,2088880957
"BRINK, KEN",KENS CUSTOM GUNS,1366 MOON SHADOW RD,BONNERS FERRY,ID,83805,2089201981
"BROCKMAN, JAMES W",BROCKMANS RIFLES,2165 S 1800 E,GOODING,ID,83330,2083583920
"BROULIMS HARDWARE, LLC",TETON ACE HARDWARE,120 S MAIN ST,DRIGGS,ID,83422,2083542344
"BROYLES, PAUL R",FLINT'N FRIZZEN,3867 E SHADY GLEN DR,BOISE,ID,837060000,2083869349
"BTD, LLC",KODA DEFENSE & ARMS,1033 W FAIRWOOD CT,MERIDIAN,ID,83646,5412440772
"BUCKLEY, ROY B",CHARTERS MTN GUN SHOP,19300 MARSING RD,CALDWELL,ID,83607,2084590978
"BULCHER, MARK",MCB SPORTS,2381 BOWLIN LN,TWIN FALLS,ID,833010000,2083089518
BULLPEN INVESTMENTS INC,"IDAHO PAWN & GOLD, SAM'S LOCKER",451 N MAIN ST,MERIDIAN,ID,83642,2084878003
BULLPEN INVESTMENTS INC,IDAHO PAWN & GOLD,615 WEST CALDWELL BLVD,NAMPA,ID,83651,2084878003
BULLPEN INVESTMENTS INC,SAMS LOCKER,10250 W FAIRVIEW AVE,BOISE,ID,83704,2084878003
BULLSEYE SHOOTERS LLC,DIAMONDBACK SHOOTING RANGE,1447 MAIN STREET,LEWISTON,ID,83501,2087987468
"BUNCH, DOUGLAS R",D & B SPORTING ARMS,1419 NORTH 23RD,BOISE,ID,83702,2083424920
"BURAK, STEVEN WALTER",208 PRECISION,9019 N BROADWOOD LANE,EAGLE,ID,83616,2085712243
"BURNING BULLET, LLC",BURNING BULLET,1890 SOUTH STONE RIDGE WAY,BOISE,ID,83712,2086962171
"BURNS, ROBERT DANE",BURNS CUSTOM PISTOLS,5377 SOUTH TEN MILE ROAD,MERIDIAN,ID,83642,2086165418
C & A ALFORD INC,"EXPEDITION FIREARMS, BARREL BOSS",3878 CORDELL CIR,IDAHO FALLS,ID,83401,2086565824
"C & C GSR, INC","CLIFFS GUNS, SAFES, RELOADING","11505 W FAIRVIEW AVE, SUITE 101",BOISE,ID,83713,2083758694
"CAGNACCI, ROY P II",GEM STATE ARMS,223 E ROOSEVELT AVE,NAMPA,ID,83686,2084670010
"CALCATERRA, BERNARD ANTHONY",BERNIES GUNS  &  AMMO,12570 N NEPTUNE  ST,POCATELLO,ID,83202,2082416931
"CALHOUN, JEFFERY",CREATIVE CARNAGE,2115 N FAIRMEADOW DR,BOISE,ID,83704,2089574511
CALKINS CONCEPTS LLC,SO SIMPLY EDGY,17633 N SCOUT AVE,NAMPA,ID,83687,2082503664
"CALLAWAY, JERE L",CALLAWAY'S GUNS,55 SHILO DR,GARDEN VALLEY,ID,83622,2084623814
CAMAS PRAIRIE FIREARMS LLC,CAMAS PRAIRIE FIREARMS,27 VIEW DR,GRANGEVILLE,ID,83530,2532085826
"CANYON COUNTY PRECISIONS, LLC","CANYON COUNTY PRECISIONS, LLC",647 TETON DR,NAMPA,ID,83686,2086976167
CARACAL USA LLC,CARACAL USA,8600 BIRCH LANE SUITE 100,NAMPA,ID,83687,2083238727
CARACAL USA LLC,CARACAL USA,8600 BIRCH LANE SUITE 100,NAMPA,ID,83687,2083238727
CARACAL USA LLC,CARACAL USA,8600 BIRCH LANE SUITE 100,NAMPA,ID,83687,2083238727
"CARLTON, ROBERT",BOBS GUNS,425 WARNER,LEWISTON,ID,835010000,2087462217
CDA PAWN BROS 2 LLC,CDA PAWN BROS,"4025 NORTH GOVERNMENT WAY, SUITE 2",COEUR D ALENE,ID,83815,2086641913
CENTER TARGET SPORTS BAG INC,CENTER TARGET SPORTS,3295 E MULLAN AVE,POST FALLS,ID,83854,2087732331
CHANDLER GROUP LLC,GUFFY'S GUN AND PAWN,616 S MAIN ST,HAILEY,ID,83333,2087205949
"CHANDLER, MARTIN",GUFFY'S GUN AND PAWN,616 SOUTH MAIN,HAILEY,ID,83333,2087205945
"CHRISTENSON, BRIAN LEE",HELLS CANYON MOUNTAIN SPORTS,41138 BALD EAGLE DRIVE,LEWISTON,ID,83501,2084138549
"CLARK, TIMMY RAY SR",IDAHO FIREARMS COMPANY,480 C STREET,PLUMMER,ID,83851,2087551401
CLUGSTON RANCH LLC,RENEGADE RIFLES,17789 CACHE BAR CT,HAYDEN,ID,83835,2087710922
"COLEMAN-BISHOP, MERRISA LEIGH",BISHOP'S GUN BARN,305 JEFFERSON AVE,POCATELLO,ID,83201,2082333912
CORBETT AUCTIONS & APPRAISALS INC,,547 E. STAGECOACH,KUNA,ID,83634,2088889563
"CORSINI, DANIEL FIELD",QUICK RESPONSE FIREARMS,1149 ADDISON AVE E ,TWIN FALLS,ID,83301,2083083978
"CORTA, STEVEN TYLER",SEMPER FIREARMS,1005 CENTER AVE,PAYETTE,ID,83661,2088919489
"COX, CHARLES",LUKE 22 ARMORY,521 LITTLE LENA DRIVE,HAILEY,ID,83333,2083092334
"COX, ERIC C",NORTH IDAHO GUNWORKS,454 SMUGGLERS LANE,PORTHILL,ID,83853,2086277022
CREWS CUSTOM GUNSMITHING LLC,CREWSCUSTOMCOM,191 BOONE CROCKETT CT,SAGLE,ID,83860,2089200985
CROWN ENTERPRISES INC,TRI STATE OUTFITTERS,1104 PULLMAN RD,MOSCOW,ID,83843,2088824555
"CROWTHER, BRENT E",HUSKY OUTFITTERS,3853 W MOUNTAIN VIEW DR,REXBURG,ID,83440,2083565797
CSWW INC,NORTH 40 OUTFITTERS,2981 THAIN GRADE,LEWISTON,ID,83501,2087461368
CSWW INC,NORTH 40 OUTFITTERS,170 E KATHLEEN AVE,COEUR D ALENE,ID,83815,2086660506
CSWW INC,NORTH 40 OUTFITTERS,477181 N HWY 95,PONDERAY,ID,83852,2082555757
"CUMMER, JAMES WOODROW",FILIKOS ARMORY,7486 N WHEATFIELD DR,COEUR D ALENE,ID,83815,2082092323
D&B SUPPLY LLC,D&B SUPPLY,2258 ADDISON AVE EAST,TWIN FALLS,ID,83301,2087339233
D&B SUPPLY LLC,D&B SUPPLY,620 SMEED PARKWAY,CALDWELL,ID,83605,2084597446
D&B SUPPLY LLC,D&B SUPPLY,3913 MULLER DRIVE,CALDWELL,ID,83605,2084597445
D&B SUPPLY LLC,D&B SUPPLY,111 HWY 16,EMMETT,ID,83617,2084597446
D&B SUPPLY LLC,D&B SUPPLY,1845 E DEER FLAT ROAD,KUNA,ID,83634,2088017500
D&B SUPPLY LLC,D&B SUPPLY ,1725 E FAIRVIEW AVE,MERIDIAN,ID,83642,2088870949
D&B SUPPLY LLC,D&B SUPPLY,600 AIRBASE ROAD,MOUNTAIN HOME,ID,83647,2084597446
D&B SUPPLY LLC,D&B SUPPLY,3200 12TH AVE RD,NAMPA,ID,83686,2084597446
D&B SUPPLY LLC,D&B SUPPLY,6945 OVERLAND ROAD,BOISE,ID,83709,2084597446
"DAMIN, JON E",JON'S GUNS,936 N GLEN ASPEN WAY,STAR,ID,83669,2086391234
DAVE'S GUN CLEANING & REPAIR LLC,DAVE'S GUN CLEANING & REPAIR,221 NORTH STREET WEST,HAGERMAN,ID,83332,2085396767
"DAVIDSON, CHARLES  & DAVIDSON, LINDA",WORKMAN OUTFITTERS,1008 VISTA,BOISE,ID,837050000,2083425479
