Name,Type,Phone,Address,City,County,Website,Verified
Idaho Arms & Ammo,"Gun Store, Gunsmith, FFL Dealer",208-809-0939,"519 E Fairview Ave #300, Meridian, ID 83642",Meridian,Ada,idahoarmsammo.com,Yes
3S Gun Sales,"Gun Store, FFL Dealer",N/A,"5131 N Fox Run Way, Meridian, ID 83646",Meridian,Ada,N/A,Yes
66 Productions LLC,Gun Manufacturer,N/A,"5034 N Baylor Lane, Meridian, ID 83646",Meridian,Ada,N/A,Yes
Lost Coast Tactical,Gun Manufacturer,N/A,"1945 W Hendricks Ct, Meridian, ID 83646",Meridian,Ada,N/A,Yes
American Upland/AUI,Gun Importer,N/A,"2837 NW 11th Ave, Meridian, ID 83646",Meridian,Ada,N/A,Yes
Rays Guns & Ammo,"Gun Store, FFL Dealer",N/A,"1969 W Red Feather Way, Meridian, ID 83646",Meridian,Ada,N/A,Yes
Koda Defense & Arms,"Gun Store, FFL Dealer",N/A,"1033 W Fairwood Ct, Meridian, ID 83646",Meridian,Ada,N/A,Yes
"Idaho Pawn & Gold, Sam's Locker","Pawn Shop, Firearms",N/A,"451 N Main St, Meridian, ID 83642",Meridian,Ada,N/A,Yes
Burns Custom Pistols,"Gun Store, Gunsmith, FFL Dealer",N/A,"5377 South Ten Mile Road, Meridian, ID 83642",Meridian,Ada,N/A,Yes
"Carter, Jon","Gun Store, FFL Dealer",N/A,"1065 W River Heights Dr, Meridian, ID 83646",Meridian,Ada,N/A,Yes
Scheels All Sports Inc,"Gun Store, Sporting Goods",N/A,"700 S Wayfinder Ave, Meridian, ID 83642",Meridian,Ada,scheels.com,Yes
Sierra Tactical & Gunsmithing,"Gun Store, Gunsmith, FFL Dealer",N/A,"2624 E Lawton Drive, Meridian, ID 83642",Meridian,Ada,N/A,Yes
Silverline Films LLC,"Gun Store, FFL Dealer",N/A,"3978 W Aspen Creek Ct, Meridian, ID 83642",Meridian,Ada,N/A,Yes
Gemtech,"Gun Manufacturer, Suppressor Specialist",208-939-7222,"3750 E Pewter Falls St #100, Meridian, ID 83642",Meridian,Ada,N/A,Yes
Benny's Pawn Inc,"Pawn Shop, Firearms",208-846-9027,"Meridian, ID",Meridian,Ada,N/A,Yes
Crossfire Elite LLC,"Gun Store, FFL Dealer",208-461-8888,"Meridian, ID",Meridian,Ada,N/A,Yes
Venom Tactical LLC,Gunsmith,N/A,"1728 E Deerhill Dr, Meridian, ID 83642",Meridian,Ada,N/A,Yes
Activity Investments LLC,Gun Manufacturer,N/A,"10183 West Wyatt Earp Drive, Star, ID 83669",Star,Ada,N/A,Yes
Bi-Mart #689,"Gun Store, Sporting Goods",N/A,"11347 W State St, Star, ID 83669",Star,Ada,N/A,Yes
Black Label Precision,Gun Manufacturer,N/A,"10451 W Daylily Ct, Star, ID 83669",Star,Ada,N/A,Yes
Jon's Guns,"Gun Store, FFL Dealer",N/A,"936 N Glen Aspen Way, Star, ID 83669",Star,Ada,N/A,Yes
Eagle Gun Company,"Gun Store, FFL Dealer",N/A,"10539 W Thimbleberry Dr, Star, ID 83669",Star,Ada,N/A,Yes
Lord Rockwell LLC,Gun Manufacturer,N/A,"1672 N Watershed Ave, Star, ID 83669",Star,Ada,N/A,Yes
MRM LLC,Gun Importer,N/A,"12525 Aliso Creek St, Star, ID 83669",Star,Ada,N/A,Yes
Patriot Pawn & Gun LLC,"Pawn Shop, Firearms, FFL Dealer",208-286-7300,"1977 N Willow Glen Place, Star, ID 83669",Star,Ada,patriotpawnandgun.com,Yes
Ridley's Family Markets,"Gun Store, Grocery Store",N/A,"145 So Plummer Way, Star, ID 83669",Star,Ada,N/A,Yes
Solar Tactical,Gun Manufacturer,N/A,"7396 Highway 44, Star, ID 83669",Star,Ada,N/A,Yes
Youngs Firearms,"Gun Store, FFL Dealer",N/A,"324 S Winslow Bay Way, Star, ID 83669",Star,Ada,N/A,Yes
208 Precision,"Gunsmith, FFL Dealer",208-571-2243,"9019 N Broadwood Ln, Eagle, ID 83616",Eagle,Ada,N/A,Yes
Tiger Defense,"Gun Store, FFL Dealer",N/A,"36 Echohawk Ln, Suite 102, Eagle, ID 83616",Eagle,Ada,tigerdefenseinc.com,Yes
Orion Armament,"Gun Store, Gunsmith, FFL Dealer",208-369-9671,"247 N Kay Ave, Kuna, ID 83634",Kuna,Ada,N/A,Yes
208 Gun Shop,"Gun Store, Online Retailer",N/A,Idaho Operations,Idaho,Ada,208gunshop.com,Yes
