event_name,event_type,start_date,end_date,venue,address,organizer,entry_fee,description,website,phone,category,frequency,state,country,created_date,predicted
USPSA Practical Pistol Match,Competition,2026-01-04,2026-01-04,Nampa Rod & Gun Club,"15053 Bennett Rd, Nampa, ID 83687",Idaho Society of Practical Shooters,"$15 adults, $5 juniors",Monthly USPSA sanctioned practical pistol competition. All skill levels welcome.,nragc.com/uspsa,208-465-2661,Competition,Monthly,ID,USA,2025-08-19,True
Great Idaho Gun Show - Nampa,Gun Show,2026-01-04,2026-01-05,Ford Idaho Center,"16200 N Idaho Ctr Blvd, Nampa, ID 83687",Lewis Clark Trader LLC,"$10 daily, $15 weekend pass","Idaho's premier firearms trade show featuring dealers, collectors, ammunition, accessories, and outdoor gear",gunshowtrader.com,208-746-5555,Trade Show,Bi-monthly,ID,USA,2025-08-19,True
Idaho Hunter Education Course,Training,2026-01-18,2026-01-18,Southwest Regional Office,"Nampa, ID 83686",Idaho Fish & Game,$9.75,Instructor-led hunter safety education course with hands-on firearm training,idfg.idaho.gov,208-334-3700,Training,Quarterly,ID,USA,2025-08-19,True
USPSA Practical Pistol Match,Competition,2026-01-18,2026-01-18,Nampa Rod & Gun Club,"15053 Bennett Rd, Nampa, ID 83687",Idaho Society of Practical Shooters,"$15 adults, $5 juniors",Monthly USPSA sanctioned practical pistol competition. All skill levels welcome.,nragc.com/uspsa,208-465-2661,Competition,Monthly,ID,USA,2025-08-19,True
USPSA Practical Pistol Match,Competition,2026-02-01,2026-02-01,Nampa Rod & Gun Club,"15053 Bennett Rd, Nampa, ID 83687",Idaho Society of Practical Shooters,"$15 adults, $5 juniors",Monthly USPSA sanctioned practical pistol competition. All skill levels welcome.,nragc.com/uspsa,208-465-2661,Competition,Monthly,ID,USA,2025-08-19,True
Great Idaho Gun Show - Idaho,Gun Show,2026-02-08,2026-02-09,Bonneville County Fairgrounds,"1542 E 73rd S, Idaho Falls, ID 83404",Lewis Clark Trader LLC,"$10 daily, $15 weekend pass","Idaho's premier firearms trade show featuring dealers, collectors, ammunition, accessories, and outdoor gear",gunshowtrader.com,208-746-5555,Trade Show,Bi-monthly,ID,USA,2025-08-19,True
USPSA Practical Pistol Match,Competition,2026-02-15,2026-02-15,Nampa Rod & Gun Club,"15053 Bennett Rd, Nampa, ID 83687",Idaho Society of Practical Shooters,"$15 adults, $5 juniors",Monthly USPSA sanctioned practical pistol competition. All skill levels welcome.,nragc.com/uspsa,208-465-2661,Competition,Monthly,ID,USA,2025-08-19,True
Great Idaho Gun Show - Nampa,Gun Show,2026-03-07,2026-03-08,Ford Idaho Center,"16200 N Idaho Ctr Blvd, Nampa, ID 83687",Lewis Clark Trader LLC,"$10 daily, $15 weekend pass","Idaho's premier firearms trade show featuring dealers, collectors, ammunition, accessories, and outdoor gear",gunshowtrader.com,208-746-5555,Trade Show,Bi-monthly,ID,USA,2025-08-19,True
USPSA Practical Pistol Match,Competition,2026-03-07,2026-03-07,Nampa Rod & Gun Club,"15053 Bennett Rd, Nampa, ID 83687",Idaho Society of Practical Shooters,"$15 adults, $5 juniors",Monthly USPSA sanctioned practical pistol competition. All skill levels welcome.,nragc.com/uspsa,208-465-2661,Competition,Monthly,ID,USA,2025-08-19,True
NRA Basic Instructor Training Course,Training,2026-03-08,2026-03-08,Eagle Rock Gun School,"Idaho Falls, ID",Eagle Rock Gun School,$95,6-hour prerequisite course for all NRA instructor certifications,eaglerockgunschool.com,TBD,Training,Quarterly,ID,USA,2025-08-19,True
Women's Only Defensive Use of Force Class,Training,2026-03-15,2026-03-15,Idaho Firearms Classes Training Center,"Boise, ID",Idaho Firearms Classes,$150,6-hour women-only defensive firearms training course,idahofirearmsclasses.com,208-938-6090,Training,Quarterly,ID,USA,2025-08-19,True
USPSA Practical Pistol Match,Competition,2026-03-21,2026-03-21,Nampa Rod & Gun Club,"15053 Bennett Rd, Nampa, ID 83687",Idaho Society of Practical Shooters,"$15 adults, $5 juniors",Monthly USPSA sanctioned practical pistol competition. All skill levels welcome.,nragc.com/uspsa,208-465-2661,Competition,Monthly,ID,USA,2025-08-19,True
USPSA Practical Pistol Match,Competition,2026-04-04,2026-04-04,Nampa Rod & Gun Club,"15053 Bennett Rd, Nampa, ID 83687",Idaho Society of Practical Shooters,"$15 adults, $5 juniors",Monthly USPSA sanctioned practical pistol competition. All skill levels welcome.,nragc.com/uspsa,208-465-2661,Competition,Monthly,ID,USA,2025-08-19,True
Great Idaho Gun Show - Post,Gun Show,2026-04-05,2026-04-06,Greyhound Park & Event Center,"5100 Riverbend Ave, Post Falls, ID 83854",Lewis Clark Trader LLC,"$10 daily, $15 weekend pass","Idaho's premier firearms trade show featuring dealers, collectors, ammunition, accessories, and outdoor gear",gunshowtrader.com,208-746-5555,Trade Show,Bi-monthly,ID,USA,2025-08-19,True
Idaho Hunter Education Course,Training,2026-04-12,2026-04-12,Southeast Regional Office,"Pocatello, ID 83201",Idaho Fish & Game,$9.75,Instructor-led hunter safety education course with hands-on firearm training,idfg.idaho.gov,208-334-3700,Training,Quarterly,ID,USA,2025-08-19,True
Steel Challenge Match - Parma,Competition,2026-04-12,2026-04-12,Parma Rod & Gun Club,"1420 Boehm Ln, Parma, ID 83660",Steel Challenge Shooting Association,$20,Fast-paced steel target competition with multiple stages,scsa.org,208-850-7097,Competition,Monthly,ID,USA,2025-08-19,True
POST Patrol Rifle Instructor Course,Training,2026-04-15,2026-04-17,East Idaho Law Enforcement Range,"8423 W Arco Highway, Idaho Falls, ID 83402",Idaho POST,$200,24-hour patrol rifle instructor certification for law enforcement,post.idaho.gov,208-577-3563,Training,Bi-annual,ID,USA,2025-08-19,True
USPSA Practical Pistol Match,Competition,2026-04-19,2026-04-19,Nampa Rod & Gun Club,"15053 Bennett Rd, Nampa, ID 83687",Idaho Society of Practical Shooters,"$15 adults, $5 juniors",Monthly USPSA sanctioned practical pistol competition. All skill levels welcome.,nragc.com/uspsa,208-465-2661,Competition,Monthly,ID,USA,2025-08-19,True
USPSA Practical Pistol Match,Competition,2026-05-02,2026-05-02,Nampa Rod & Gun Club,"15053 Bennett Rd, Nampa, ID 83687",Idaho Society of Practical Shooters,"$15 adults, $5 juniors",Monthly USPSA sanctioned practical pistol competition. All skill levels welcome.,nragc.com/uspsa,208-465-2661,Competition,Monthly,ID,USA,2025-08-19,True
IDPA Monthly Match - Nampa,Competition,2026-05-10,2026-05-10,Nampa Rod & Gun Club,"7990 Bennett Road, Nampa, ID 83686",Nampa Rod & Gun Club,$25,International Defensive Pistol Association practical shooting match,nragc.com/idpa,530-219-3118,Competition,Monthly,ID,USA,2025-08-19,True
AllTerra Arms Long Range Precision Course,Training,2026-05-10,2026-05-11,AllTerra Arms Training Facility,"6898 Supply Way Ste 100, Boise, ID 83716",AllTerra Arms,$650,2-day long range precision shooting course with AllTerra rifles,allterraarms.com,208-608-5179,Training,Monthly,ID,USA,2025-08-19,True
USPSA Practical Pistol Match,Competition,2026-05-17,2026-05-17,Nampa Rod & Gun Club,"15053 Bennett Rd, Nampa, ID 83687",Idaho Society of Practical Shooters,"$15 adults, $5 juniors",Monthly USPSA sanctioned practical pistol competition. All skill levels welcome.,nragc.com/uspsa,208-465-2661,Competition,Monthly,ID,USA,2025-08-19,True
Great Idaho Gun Show - Nampa,Gun Show,2026-05-17,2026-05-18,Ford Idaho Center,"16200 N Idaho Ctr Blvd, Nampa, ID 83687",Lewis Clark Trader LLC,"$10 daily, $15 weekend pass","Idaho's premier firearms trade show featuring dealers, collectors, ammunition, accessories, and outdoor gear",gunshowtrader.com,208-746-5555,Trade Show,Bi-monthly,ID,USA,2025-08-19,True
USPSA Practical Pistol Match,Competition,2026-06-06,2026-06-06,Nampa Rod & Gun Club,"15053 Bennett Rd, Nampa, ID 83687",Idaho Society of Practical Shooters,"$15 adults, $5 juniors",Monthly USPSA sanctioned practical pistol competition. All skill levels welcome.,nragc.com/uspsa,208-465-2661,Competition,Monthly,ID,USA,2025-08-19,True
BHA Learn to Hunt Program - Boise,Training,2026-06-07,2026-08-30,Various Boise Area Locations,"Boise, ID",Backcountry Hunters & Anglers Idaho Chapter,$50,5-session program for new hunters beyond basic hunter safety,backcountryhunters.org,TBD,Training,Annual,ID,USA,2025-08-19,True
High Desert 3-Gun Championship,Championship,2026-06-12,2026-06-14,Parma Rod & Gun Club,"1420 Boehm Ln, Parma, ID 83660",Parma Rod & Gun Club,$200,"3-day 3-gun championship featuring rifle, pistol, and shotgun on every stage",TBD,TBD,Championship,Annual,ID,USA,2025-08-19,True
NRA High Power 800 Aggregate Match,Competition,2026-06-20,2026-06-20,Nampa Rod & Gun Club Outdoor Range,"15053 Bennett Rd, Nampa, ID 83687",Nampa Rod & Gun Club,$35,"NRA sanctioned high power rifle match shot at 200, 300, and 600 yards",nragc.com,208-465-2661,Competition,Monthly,ID,USA,2025-08-19,True
USPSA Practical Pistol Match,Competition,2026-06-21,2026-06-21,Nampa Rod & Gun Club,"15053 Bennett Rd, Nampa, ID 83687",Idaho Society of Practical Shooters,"$15 adults, $5 juniors",Monthly USPSA sanctioned practical pistol competition. All skill levels welcome.,nragc.com/uspsa,208-465-2661,Competition,Monthly,ID,USA,2025-08-19,True
Great Idaho Gun Show - Post,Gun Show,2026-06-28,2026-06-29,Greyhound Park & Event Center,"5100 Riverbend Ave, Post Falls, ID 83854",Lewis Clark Trader LLC,"$10 daily, $15 weekend pass","Idaho's premier firearms trade show featuring dealers, collectors, ammunition, accessories, and outdoor gear",gunshowtrader.com,208-746-5555,Trade Show,Bi-monthly,ID,USA,2025-08-19,True
IAWCA CMP High Power Rifle Match,Competition,2026-07-01,2026-07-01,Black's Creek Public Shooting Range,"2420 E Kuna Mora Rd, Kuna, ID 83634",Idaho Automatic Weapons Collectors Association,$15,CMP sanctioned high power rifle match for service rifles,iawca.org,208-465-0970,Competition,Monthly,ID,USA,2025-08-19,True
Great Idaho Gun Show - Coeur,Gun Show,2026-07-12,2026-07-13,Kootenai County Fairgrounds,"4056 N Government Way, Coeur d'Alene, ID 83815",Lewis Clark Trader LLC,"$10 daily, $15 weekend pass","Idaho's premier firearms trade show featuring dealers, collectors, ammunition, accessories, and outdoor gear",gunshowtrader.com,208-746-5555,Trade Show,Bi-monthly,ID,USA,2025-08-19,True
Idaho Hunter Education Course,Training,2026-07-19,2026-07-19,Panhandle Regional Office,"Coeur d'Alene, ID 83814",Idaho Fish & Game,$9.75,Instructor-led hunter safety education course with hands-on firearm training,idfg.idaho.gov,208-334-3700,Training,Quarterly,ID,USA,2025-08-19,True
Friends of NRA Idaho Heartland Banquet,Fundraising,2026-08-02,2026-08-02,Cascade Event Center,"Cascade, ID 83611",Friends of NRA,$75,"Regional fundraising banquet with dinner, games, and auctions",friendsofnra.org,TBD,Fundraising,Annual,ID,USA,2025-08-19,True
Great Idaho Gun Show - Idaho,Gun Show,2026-08-09,2026-08-10,Bonneville County Fairgrounds,"1542 E 73rd S, Idaho Falls, ID 83404",Lewis Clark Trader LLC,"$10 daily, $15 weekend pass","Idaho's premier firearms trade show featuring dealers, collectors, ammunition, accessories, and outdoor gear",gunshowtrader.com,208-746-5555,Trade Show,Bi-monthly,ID,USA,2025-08-19,True
NRA Muzzleloader Instructor Course,Training,2026-08-16,2026-08-17,Black's Creek Public Shooting Range,"2420 E Kuna Mora Rd, Kuna, ID 83634",Mountain West Council BSA,$70,16-hour NRA instructor certification for muzzleloader shooting,mountainwestcouncil.org,208-863-2501,Training,Annual,ID,USA,2025-08-19,True
Vortex Optics Idaho State Steel Challenge Championship,Championship,2026-08-29,2026-08-31,Nampa Rod & Gun Club,"15053 Bennett Rd, Nampa, ID 83687",Idaho Society of Practical Shooters,$75,Idaho's premier steel challenge championship with national ranking points,TBD,TBD,Championship,Annual,ID,USA,2025-08-19,True
Idaho IDPA State Championship,Championship,2026-09-05,2026-09-06,Nampa Rod & Gun Club,"7990 Bennett Road, Nampa, ID 83686",Nampa Rod & Gun Club,$125,Idaho's premier IDPA state championship featuring 12 challenging stages,TBD,TBD,Championship,Annual,ID,USA,2025-08-19,True
Great Idaho Gun Show - Nampa,Gun Show,2026-09-19,2026-09-20,Ford Idaho Center,"16200 N Idaho Ctr Blvd, Nampa, ID 83687",Lewis Clark Trader LLC,"$10 daily, $15 weekend pass","Idaho's premier firearms trade show featuring dealers, collectors, ammunition, accessories, and outdoor gear",gunshowtrader.com,208-746-5555,Trade Show,Bi-monthly,ID,USA,2025-08-19,True
Friends of NRA Idaho State Banquet,Fundraising,2026-10-17,2026-10-17,Revolution Event Center,"4983 N Glenwood Way, Garden City, ID 83714",Friends of NRA Idaho,$50-150,Annual fundraising banquet supporting shooting sports and firearms education,TBD,TBD,Fundraising,Annual,ID,USA,2025-08-19,True
Tactical Games Boise Skirmish,Competition,2026-10-24,2026-10-24,Double Tapp Range,"14010 E Double Tapp Lane, Boise, ID 83716",The Tactical Games,$100,Fitness and shooting competition combining physical challenges with marksmanship,TBD,TBD,Competition,Annual,ID,USA,2025-08-19,True
